age,monthly_income,debt_to_income_ratio,credit_utilization,number_of_existing_loans,years_in_job,credit_history_length,repayment_history_score,loan_amount,loan_tenure,account_balance,income_stability_score,pd_score,default
59,70224,1.24,0.44,3,4,12,0.87,1041103,48,300442,0.59,0.572,0
49,146487,0.38,0.49,3,10,4,0.59,662867,12,346041,0.42,0.464,0
35,138609,0.53,0.51,1,13,2,0.41,880735,12,26957,0.51,0.527,0
28,75094,0.53,0.69,2,3,7,0.68,480449,12,194877,0.35,0.568,0
41,30502,1.69,0.87,1,4,14,0.6,616808,24,426929,0.78,0.851,1
59,69130,0.45,0.25,2,0,12,0.71,369880,48,8761,0.75,0.308,0
39,187117,0.26,0.34,0,10,7,0.55,580186,48,287885,0.97,0.28,0
43,89505,1.07,0.4,2,0,13,0.85,1152900,12,159116,0.85,0.468,0
31,129213,0.21,0.71,1,2,4,0.43,332582,24,54963,0.63,0.489,0
31,46234,1.49,0.66,2,12,12,0.93,826902,24,323428,0.88,0.642,1
44,194099,0.23,0.37,0,12,12,0.67,536726,12,105147,0.6,0.333,0
56,30807,2.78,0.19,3,2,14,0.62,1026334,24,391109,0.33,0.972,1
44,195049,0.28,0.31,1,10,4,0.41,660169,12,447769,0.42,0.412,0
23,120491,0.21,0.19,0,4,2,0.81,308180,48,314259,0.56,0.245,0
42,29788,2.22,0.19,0,6,8,0.81,794884,36,138732,0.77,0.706,1
22,130022,0.72,0.78,0,9,11,0.59,1124514,48,463245,0.58,0.619,1
44,130875,0.38,0.65,1,12,7,0.97,597197,48,223479,0.91,0.347,0
50,167821,0.26,0.87,3,12,12,0.86,523495,60,372857,0.74,0.45,0
58,63491,1.43,0.37,0,0,5,0.53,1086827,48,100896,0.44,0.693,1
22,142882,0.09,0.72,1,7,8,0.84,146592,60,196081,0.37,0.433,0
41,39435,0.94,0.13,1,13,3,0.71,445262,24,414799,0.97,0.344,0
53,184623,0.31,0.72,2,11,10,0.95,688396,12,370535,0.8,0.38,0
32,125442,0.71,0.69,1,13,13,0.84,1071832,24,454384,0.35,0.581,0
42,158231,0.19,0.77,0,14,11,0.78,366869,24,116767,0.59,0.443,0
45,123789,0.3,0.68,1,8,4,1.0,439742,36,494936,0.33,0.447,0
47,144939,0.37,0.84,2,7,12,0.42,646229,12,116602,0.42,0.618,1
48,196201,0.05,0.46,0,12,4,0.65,128196,36,488927,0.85,0.274,0
36,69389,0.08,0.47,3,1,3,0.78,65733,36,405306,0.63,0.302,0
35,97611,0.22,0.45,2,4,10,0.99,254759,36,310947,0.79,0.256,0
23,146059,0.47,0.44,1,3,5,0.48,829749,48,267239,0.31,0.514,0
57,62945,1.06,0.33,0,0,1,0.82,798278,24,164702,0.45,0.527,0
27,134188,0.26,0.37,0,2,10,0.56,413121,12,194503,0.32,0.418,0
41,132873,0.25,0.71,0,12,7,0.77,395309,48,407348,0.52,0.453,0
29,152534,0.25,0.84,1,3,12,0.59,452130,36,458962,0.57,0.524,0
59,83220,0.77,0.72,1,13,11,0.48,765321,36,266322,0.65,0.618,1
38,85344,0.75,0.67,1,14,5,0.79,766822,36,45135,0.46,0.572,0
24,29413,2.32,0.26,2,8,2,0.69,820519,36,305018,0.3,0.873,1
45,169122,0.41,0.15,2,4,6,0.67,826012,60,121404,0.71,0.279,0
34,162700,0.16,0.52,2,4,5,0.55,312730,60,296307,0.93,0.326,0
29,59064,0.88,0.7,3,0,4,0.54,626526,36,265285,0.41,0.675,1
46,54424,1.01,0.35,2,9,2,0.62,656597,60,327198,0.85,0.481,0
22,53899,1.56,0.62,2,11,5,0.86,1010502,12,100522,0.98,0.639,1
40,144851,0.62,0.2,2,7,11,0.47,1074778,36,290533,0.61,0.409,0
48,51247,0.42,0.26,0,13,1,0.9,258707,60,433145,0.83,0.25,0
27,85591,0.95,0.63,0,9,14,0.78,979549,60,112174,0.67,0.568,0
28,39907,2.45,0.63,2,9,5,0.95,1173396,24,251913,0.52,0.939,1
55,175015,0.2,0.34,0,9,3,0.85,413118,24,452911,0.56,0.287,0
34,170118,0.14,0.68,0,9,9,0.66,281517,12,143223,0.89,0.363,0
37,152605,0.1,0.78,3,10,1,0.61,180671,36,223600,0.97,0.382,0
56,37046,1.32,0.66,3,11,7,0.91,586111,24,448870,0.65,0.649,1
24,198475,0.4,0.57,0,6,1,0.65,959561,36,29493,0.45,0.48,0
22,72175,1.33,0.71,2,9,2,0.49,1151618,24,147287,0.73,0.737,1
26,145557,0.07,0.25,0,10,10,0.74,119058,36,247121,0.34,0.289,0
24,124271,0.39,0.29,1,13,4,1.0,577858,60,219490,0.35,0.329,0
49,151069,0.11,0.73,1,7,14,0.56,205675,60,48992,0.46,0.479,0
38,82742,0.42,0.87,3,7,7,0.73,421741,12,96398,0.61,0.542,0
46,175363,0.34,0.86,3,3,5,0.49,715024,48,326048,0.54,0.58,0
54,98052,0.84,0.49,3,12,12,0.74,986739,60,393719,0.31,0.572,0
30,190449,0.14,0.88,0,9,9,0.44,323912,24,174492,0.92,0.471,0
56,153076,0.16,0.37,1,7,3,0.64,294500,36,136508,0.55,0.332,0
34,195801,0.07,0.59,1,14,8,0.7,161541,36,134848,0.53,0.378,0
51,90970,0.13,0.22,3,5,12,0.69,141321,12,63091,0.67,0.238,0
35,57014,1.64,0.11,1,13,4,0.9,1123733,60,406562,0.61,0.546,0
28,121700,0.12,0.57,3,0,5,0.86,176076,48,74073,0.72,0.314,0
34,125874,0.1,0.53,2,11,1,0.82,155622,48,409068,0.72,0.303,0
43,143682,0.19,0.42,0,0,14,0.97,322197,48,103409,0.47,0.306,0
41,61312,1.23,0.57,2,14,4,0.96,903883,48,305509,0.78,0.559,0
36,71126,0.21,0.77,0,11,6,0.81,175375,60,225535,0.41,0.478,0
38,78477,1.24,0.25,2,11,8,0.88,1171950,60,487365,0.53,0.516,0
44,24561,3.78,0.25,1,0,4,0.76,1113166,48,14234,0.6,1.0,1
46,184903,0.11,0.74,3,14,1,0.93,244764,36,318905,0.97,0.307,0
45,150387,0.05,0.72,3,11,9,0.52,82635,36,49317,0.75,0.41,0
49,86931,0.54,0.26,0,13,3,1.0,566648,36,297949,0.77,0.272,0
35,151124,0.11,0.23,3,4,2,0.93,190466,24,312406,0.55,0.212,0
21,39535,0.55,0.71,3,9,10,0.9,260438,60,234451,0.55,0.496,0
45,83838,0.35,0.12,1,3,7,0.78,347468,36,382047,0.87,0.2,0
27,55554,1.24,0.45,3,10,11,0.96,826371,60,17073,0.64,0.548,0
29,34675,1.28,0.31,2,11,1,0.71,533399,48,454366,0.68,0.55,0
44,53912,0.15,0.15,3,2,11,0.49,95786,60,352764,0.34,0.324,0
21,22112,1.97,0.42,2,14,6,0.61,521786,48,222656,0.96,0.726,1
28,164823,0.43,0.28,2,3,1,0.67,854098,12,19010,0.4,0.392,0
44,53063,1.67,0.67,3,11,6,0.6,1065952,60,165101,0.38,0.856,1
31,178637,0.15,0.58,0,4,11,0.71,318036,24,300063,0.53,0.392,0
37,132844,0.71,0.56,3,1,5,0.53,1131275,60,165240,0.53,0.562,0
28,123046,0.25,0.55,3,4,1,0.65,362814,60,93828,0.53,0.419,0
55,70732,1.3,0.75,0,12,7,0.92,1105816,36,280809,0.63,0.677,1
55,117557,0.41,0.43,2,1,12,0.84,577429,12,170203,0.88,0.309,0
53,92755,0.61,0.28,0,13,7,0.52,678651,36,166434,0.93,0.361,0
25,150788,0.47,0.88,2,9,13,0.48,845545,48,117243,0.63,0.604,1
59,125315,0.77,0.41,2,5,12,0.96,1150975,12,234440,0.46,0.452,0
48,88163,0.07,0.3,0,4,13,0.89,78755,12,57843,0.84,0.176,0
27,188645,0.24,0.32,3,1,9,0.63,550153,12,245882,0.56,0.334,0
29,167437,0.47,0.27,2,8,10,0.84,945768,60,286620,0.47,0.35,0
28,81506,1.01,0.74,1,8,2,0.67,991834,36,370697,0.87,0.604,1
32,109538,0.44,0.11,3,1,2,0.46,572245,48,78169,0.81,0.294,0
54,28701,2.97,0.38,0,14,12,0.83,1022289,60,157640,0.53,1.0,1
53,159007,0.33,0.44,2,13,12,0.72,632236,24,84305,0.63,0.366,0
43,37845,1.47,0.35,3,2,1,0.91,668941,24,247157,0.69,0.57,0
44,92456,0.21,0.25,0,7,11,0.67,232301,24,404000,0.89,0.228,0
57,54738,1.4,0.59,0,0,14,0.64,920991,36,27766,0.5,0.728,1
55,21551,2.11,0.16,0,5,10,0.55,545104,60,61438,0.47,0.779,1
42,105771,0.36,0.32,3,8,11,0.63,455411,12,112860,0.94,0.288,0
47,167557,0.08,0.14,1,13,7,0.52,157776,60,112351,0.41,0.283,0
55,60851,1.01,0.12,3,1,7,0.8,734437,60,59046,0.36,0.462,0
21,176381,0.17,0.6,2,5,10,0.53,356749,12,37041,0.83,0.381,0
55,129588,0.16,0.35,3,14,6,0.88,242079,24,174305,0.98,0.19,0
57,178082,0.54,0.27,1,9,2,0.62,1145922,12,294462,0.7,0.366,0
34,118395,0.53,0.87,0,11,11,0.46,748376,24,127353,0.54,0.637,1
23,168612,0.17,0.58,2,0,8,0.81,352680,60,470796,0.79,0.325,0
21,24934,3.22,0.55,0,8,2,0.91,964981,24,434529,0.79,1.0,1
25,94232,0.29,0.38,1,8,9,0.49,322405,12,309022,0.65,0.377,0
46,92404,0.69,0.34,2,1,14,0.49,763384,48,153881,0.37,0.52,0
34,63155,0.54,0.37,1,10,11,0.93,410705,24,95088,0.32,0.414,0
59,29125,0.51,0.52,3,3,6,0.86,177104,36,76479,0.5,0.438,0
47,135571,0.54,0.38,0,12,11,0.7,878425,60,331079,0.55,0.418,0
29,180057,0.36,0.35,1,8,3,0.55,782770,12,448383,0.74,0.354,0
35,39088,0.86,0.11,0,4,6,0.96,402433,12,148030,0.82,0.298,0
35,171774,0.05,0.44,0,10,9,0.8,99899,48,271193,0.9,0.226,0
46,83840,1.01,0.69,0,12,2,0.49,1019619,24,80723,0.61,0.674,1
33,147391,0.57,0.49,3,9,1,0.59,1009091,60,55688,0.76,0.444,0
52,169565,0.17,0.27,0,12,3,0.64,352614,60,325381,0.9,0.229,0
59,182399,0.05,0.38,0,1,3,0.72,106086,24,76070,0.93,0.215,0
52,180367,0.09,0.83,2,12,6,0.96,188824,60,405734,0.91,0.339,0
24,46999,0.15,0.75,0,9,8,0.94,83597,36,324938,0.97,0.318,0
50,63606,0.22,0.57,1,0,7,0.59,165866,24,71482,0.34,0.468,0
57,196532,0.49,0.28,3,0,10,0.98,1149740,36,309599,0.71,0.283,0
43,151032,0.15,0.77,1,7,11,0.54,266387,36,197762,0.7,0.459,0
59,158144,0.25,0.11,1,1,11,0.76,466065,12,178808,0.91,0.167,0
35,36773,0.83,0.85,0,14,11,0.4,364680,60,459792,0.44,0.737,1
49,136336,0.2,0.45,2,7,5,0.82,327929,60,333284,0.51,0.342,0
56,61725,1.19,0.88,2,4,6,0.9,883518,48,420584,0.66,0.693,1
33,159611,0.56,0.38,2,8,13,0.53,1069994,60,267575,0.48,0.471,0
52,130069,0.47,0.75,1,10,2,0.57,737566,24,109499,0.8,0.506,0
27,160609,0.44,0.16,2,4,13,0.49,851058,36,304692,0.85,0.298,0
42,183359,0.48,0.78,3,9,13,0.98,1052420,24,467248,0.96,0.405,0
48,199263,0.09,0.32,3,10,11,0.89,225955,60,283420,0.99,0.158,0
22,199353,0.04,0.42,0,7,9,0.54,107631,24,272981,0.97,0.255,0
26,178212,0.35,0.19,2,1,7,0.57,745964,60,44789,0.48,0.344,0
48,101290,0.14,0.75,3,9,14,0.91,165033,48,67764,0.51,0.414,0
48,130030,0.65,0.71,3,6,14,0.6,1009498,48,356010,0.56,0.579,0
40,124368,0.05,0.6,0,13,6,0.88,80331,60,293022,0.4,0.367,0
50,120541,0.26,0.42,3,11,14,0.69,382395,24,220653,0.31,0.412,0
31,44780,1.18,0.34,3,11,13,0.85,636387,36,264755,0.39,0.566,0
48,67873,1.1,0.45,3,4,6,0.92,895866,60,41462,0.52,0.544,0
45,97912,0.4,0.64,2,12,13,0.74,468988,48,448208,0.61,0.454,0
59,109835,0.75,0.1,3,14,11,0.73,993937,12,370002,0.5,0.376,0
53,178650,0.39,0.54,0,0,3,0.89,839693,60,282208,0.85,0.338,0
21,129938,0.58,0.33,2,11,8,0.96,905461,12,413785,0.87,0.294,0
47,36715,1.52,0.36,0,0,8,0.59,670499,12,109467,0.99,0.59,0
33,47544,0.52,0.85,1,6,13,0.91,296620,36,123455,0.45,0.556,0
