income_declared,income_detected,address_mismatch,device_location,document_authenticity_score,account_balance_pattern,employment_mismatch,rapid_loan_requests,fraud_probability,fraud_flag
92156,103801,0,0,0.83,0.73,0,0,0.087,0
65614,61044,0,3,0.52,0.56,0,0,0.144,0
36319,12258,0,4,0.44,0.76,0,1,0.572,1
178548,148990,1,4,0.55,0.33,1,0,0.37,0
56911,53026,0,4,0.88,0.88,0,0,0.054,0
39709,50386,0,4,0.87,0.25,0,0,0.127,0
115384,108743,0,2,0.97,0.4,0,1,0.228,0
36281,42677,0,2,0.43,0.29,1,0,0.204,0
183547,182710,0,1,0.92,0.54,0,1,0.222,0
175418,169160,0,3,0.58,0.54,0,1,0.317,0
96996,93916,0,4,0.65,0.67,0,0,0.099,0
155427,166057,0,1,0.94,0.33,0,0,0.039,0
146034,123157,0,2,0.48,0.72,0,1,0.385,0
179527,182312,0,3,0.71,0.88,0,0,0.078,0
193826,178054,0,0,0.95,0.92,0,0,0.041,0
163556,174598,0,1,0.72,0.96,1,1,0.294,0
40594,45459,0,3,0.75,0.18,0,0,0.104,0
23419,8978,0,2,0.76,0.6,0,0,0.276,0
104206,91036,0,1,0.86,0.67,1,0,0.079,0
45256,25081,0,0,0.79,0.13,0,0,0.209,0
85220,97184,0,2,0.94,0.61,0,0,0.064,0
64217,39624,0,2,0.52,0.48,0,1,0.454,0
58399,42889,0,2,0.66,0.16,1,1,0.378,0
27985,20039,0,1,0.44,0.65,1,0,0.239,0
99893,107219,0,2,0.96,0.94,0,0,0.036,0
193483,198672,0,1,0.71,0.16,1,0,0.082,0
192724,188361,1,0,0.53,0.75,0,0,0.325,0
110750,105965,0,4,0.6,0.32,1,1,0.315,0
46419,17376,0,0,0.83,0.24,0,1,0.461,0
176412,181077,0,3,0.9,0.78,0,0,0.034,0
160966,164041,0,3,0.78,0.93,0,1,0.262,0
155083,132279,0,0,0.54,0.44,0,0,0.166,0
91446,68719,0,1,0.58,0.53,0,0,0.192,0
197536,199973,0,2,0.97,0.51,1,0,0.012,0
99036,115601,0,2,0.63,0.98,0,0,0.151,0
27089,7637,0,4,0.57,0.82,0,0,0.359,0
172985,158534,0,2,0.64,0.18,1,0,0.119,0
184566,180980,0,3,0.64,0.84,0,0,0.097,0
76711,84844,0,4,0.91,0.32,0,1,0.26,0
98364,91911,0,3,0.97,0.12,0,0,0.03,0
39291,43859,0,2,0.95,0.43,0,0,0.053,0
35283,21864,0,0,0.41,0.51,0,0,0.281,0
